"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"08.04.2025","1.465,39","1.448,22","1.479,35","1.444,26","978,10M","1,81%"
"07.04.2025","1.439,39","1.398,67","1.472,34","1.382,00","1,65B","-2,22%"
"04.04.2025","1.472,01","1.532,71","1.547,75","1.469,50","1,69B","-2,91%"
"03.04.2025","1.516,11","1.557,03","1.577,23","1.514,10","1,28B","-2,51%"
"02.04.2025","1.555,16","1.565,34","1.575,23","1.549,88","1,12B","-1,67%"
"01.04.2025","1.581,63","1.596,35","1.618,56","1.562,52","2,07B","-0,38%"
"31.03.2025","1.587,62","1.589,39","1.602,01","1.555,92","935,85M","-0,32%"
"28.03.2025","1.592,65","1.627,80","1.635,55","1.570,88","1,51B","-3,46%"
"27.03.2025","1.649,75","1.670,17","1.670,17","1.644,30","1,11B","-1,22%"
"26.03.2025","1.670,17","1.695,24","1.706,51","1.669,31","541,41M","-0,92%"
"25.03.2025","1.685,62","1.699,65","1.704,98","1.662,30","1,39B","-0,32%"
"24.03.2025","1.691,08","1.673,89","1.701,34","1.673,89","1,22B","1,22%"
"21.03.2025","1.670,64","1.692,16","1.700,76","1.670,64","1,12B","-1,47%"
"20.03.2025","1.695,61","1.701,17","1.709,41","1.664,65","1,56B","0,08%"
"19.03.2025","1.694,23","1.683,96","1.702,65","1.668,74","821,64M","-0,60%"
"18.03.2025","1.704,45","1.706,64","1.715,09","1.691,41","649,66M","0,28%"
"17.03.2025","1.699,62","1.711,33","1.721,05","1.692,73","942,18M","0,92%"
"14.03.2025","1.684,07","1.643,66","1.684,07","1.643,66","1,07B","2,49%"
"13.03.2025","1.643,22","1.645,14","1.661,06","1.633,36","1,23B","-1,02%"
"12.03.2025","1.660,12","1.679,25","1.683,04","1.652,52","818,05M","-1,31%"
"11.03.2025","1.682,23","1.692,57","1.700,55","1.673,23","781,67M","-0,74%"
"10.03.2025","1.694,69","1.698,77","1.712,26","1.685,79","473,41M","1,47%"
"07.03.2025","1.670,19","1.704,84","1.730,75","1.667,57","876,96M","-2,03%"
"06.03.2025","1.704,84","1.738,91","1.738,91","1.704,10","586,84M","-2,19%"
"05.03.2025","1.743,01","1.723,19","1.757,61","1.715,01","1,57B","1,47%"
"04.03.2025","1.717,69","1.668,09","1.723,90","1.668,09","1,32B","3,78%"
"03.03.2025","1.655,06","1.688,07","1.690,53","1.653,39","1,34B","-3,77%"
"28.02.2025","1.719,95","1.711,13","1.722,11","1.662,74","1,62B","0,52%"
"27.02.2025","1.711,13","1.758,52","1.758,52","1.705,31","1,62B","-3,39%"
"26.02.2025","1.771,24","1.821,38","1.830,90","1.766,16","2,30B","-2,52%"
"25.02.2025","1.817,06","1.830,09","1.843,81","1.814,66","1,25B","0,03%"
"24.02.2025","1.816,43","1.830,00","1.843,36","1.805,38","1,28B","-0,68%"
"21.02.2025","1.828,94","1.807,91","1.834,33","1.802,74","1,57B","2,03%"
"20.02.2025","1.792,55","1.760,20","1.807,43","1.759,96","2,05B","2,72%"
"19.02.2025","1.745,04","1.733,40","1.757,29","1.711,02","1,11B","1,77%"
"18.02.2025","1.714,62","1.765,90","1.767,40","1.709,87","1,77B","-3,07%"
"17.02.2025","1.768,98","1.751,17","1.774,16","1.749,44","2,03B","2,20%"
"14.02.2025","1.730,92","1.749,23","1.770,35","1.713,95","3,15B","-0,04%"
"13.02.2025","1.731,63","1.735,01","1.756,16","1.695,05","2,35B","5,10%"
"12.02.2025","1.647,58","1.665,71","1.671,73","1.640,77","2,18B","0,01%"
"11.02.2025","1.647,42","1.601,74","1.648,20","1.595,34","1,46B","2,40%"
"10.02.2025","1.608,75","1.578,88","1.615,69","1.578,64","1,17B","2,18%"
"07.02.2025","1.574,48","1.592,15","1.593,96","1.574,29","785,84M","-1,07%"
"06.02.2025","1.591,58","1.591,63","1.594,67","1.578,23","916,56M","0,89%"
"05.02.2025","1.577,56","1.586,14","1.586,14","1.555,03","1,36B","-0,94%"
"04.02.2025","1.592,58","1.587,64","1.608,15","1.586,54","1,53B","1,08%"
"03.02.2025","1.575,49","1.589,00","1.589,93","1.572,79","472,48M","-0,99%"
"31.01.2025","1.591,20","1.619,33","1.625,55","1.588,79","1,50B","-1,28%"
"30.01.2025","1.611,86","1.602,97","1.626,25","1.600,10","2,68B","0,98%"
"29.01.2025","1.596,29","1.570,29","1.598,39","1.563,56","1,28B","1,66%"
"28.01.2025","1.570,29","1.557,77","1.573,72","1.540,86","793,78M","0,79%"
"27.01.2025","1.557,93","1.583,76","1.586,95","1.554,16","636,02M","-1,63%"
"24.01.2025","1.583,76","1.585,70","1.598,29","1.576,59","1,31B","0,66%"
"23.01.2025","1.573,34","1.596,94","1.601,70","1.563,67","1,10B","-2,61%"
"22.01.2025","1.615,46","1.609,56","1.616,81","1.595,59","733,79M","0,79%"
"21.01.2025","1.602,78","1.594,84","1.606,35","1.563,98","1,25B","0,39%"
"20.01.2025","1.596,48","1.620,11","1.620,11","1.592,95","1,72B","-0,17%"
"17.01.2025","1.599,22","1.570,37","1.603,95","1.564,45","1,38B","1,44%"
"16.01.2025","1.576,55","1.566,37","1.584,88","1.550,69","1,32B","3,44%"
"15.01.2025","1.524,13","1.538,53","1.547,60","1.521,04","1,19B","-0,73%"
"14.01.2025","1.535,40","1.517,89","1.542,10","1.509,01","1,58B","0,76%"
"13.01.2025","1.523,84","1.546,67","1.560,65","1.516,68","1,76B","-0,36%"
"10.01.2025","1.529,27","1.484,58","1.535,63","1.459,81","2,10B","2,97%"
"09.01.2025","1.485,12","1.525,12","1.537,62","1.474,35","983,99M","-2,55%"
"08.01.2025","1.523,91","1.508,99","1.536,20","1.501,68","480,70M","1,39%"
"06.01.2025","1.503,03","1.487,26","1.508,74","1.465,83","366,24M","0,59%"
"03.01.2025","1.494,19","1.529,92","1.529,92","1.480,59","804,06M","-1,86%"
"30.12.2024","1.522,55","1.472,34","1.524,23","1.470,74","1,60B","5,26%"
"28.12.2024","1.446,50","1.417,79","1.449,09","1.414,79","842,05M","2,68%"
"27.12.2024","1.408,76","1.409,76","1.426,36","1.406,87","842,05M","-0,48%"
"26.12.2024","1.415,60","1.409,92","1.421,83","1.400,98","1,13B","1,39%"
"25.12.2024","1.396,21","1.388,01","1.401,94","1.378,79","1,18B","0,32%"
"24.12.2024","1.391,70","1.404,15","1.406,83","1.373,15","1,64B","-0,59%"
"23.12.2024","1.399,98","1.411,35","1.436,57","1.388,63","2,97B","0,57%"
"20.12.2024","1.391,98","1.254,25","1.399,64","1.247,09","4,62B","11,65%"
"19.12.2024","1.246,68","1.235,19","1.278,18","1.231,50","1,51B","2,00%"
"18.12.2024","1.222,20","1.222,89","1.227,86","1.210,79","602,92M","0,83%"
"17.12.2024","1.212,17","1.220,99","1.238,09","1.209,05","728,97M","-0,42%"
"16.12.2024","1.217,23","1.255,64","1.255,64","1.216,91","1,03B","-3,55%"
"13.12.2024","1.262,02","1.254,88","1.263,13","1.244,42","724,94M","0,63%"
"12.12.2024","1.254,09","1.269,05","1.278,14","1.253,10","1,18B","0,12%"
"11.12.2024","1.252,56","1.273,76","1.275,01","1.252,56","1,04B","-1,95%"
"10.12.2024","1.277,46","1.308,60","1.309,30","1.267,71","777,11M","-2,46%"
"09.12.2024","1.309,72","1.299,63","1.313,08","1.284,87","985,35M","1,42%"
"06.12.2024","1.291,37","1.270,91","1.302,11","1.262,69","1,23B","2,60%"
"05.12.2024","1.258,64","1.245,85","1.264,39","1.227,39","1,22B","-0,65%"
"04.12.2024","1.266,85","1.277,98","1.291,84","1.261,59","920,06M","-1,32%"
"03.12.2024","1.283,85","1.328,49","1.330,37","1.267,81","1,08B","-3,13%"
"02.12.2024","1.325,37","1.335,21","1.352,21","1.320,82","926,80M","-1,05%"
"29.11.2024","1.339,50","1.315,68","1.341,16","1.299,40","806,47M","1,64%"
"28.11.2024","1.317,84","1.304,07","1.320,20","1.282,08","931,43M","3,29%"
"27.11.2024","1.275,87","1.283,75","1.291,17","1.246,53","1,57B","0,15%"
"26.11.2024","1.274,01","1.301,43","1.326,23","1.260,17","1,78B","-3,28%"
"25.11.2024","1.317,20","1.347,23","1.347,39","1.308,88","1,03B","-2,92%"
"22.11.2024","1.356,78","1.372,02","1.372,02","1.348,22","828,50M","1,04%"
"21.11.2024","1.342,77","1.391,86","1.395,93","1.337,74","1,79B","-3,15%"
"20.11.2024","1.386,47","1.418,78","1.419,16","1.381,30","2,13B","-2,09%"
"19.11.2024","1.416,10","1.471,95","1.478,96","1.410,82","2,35B","-4,47%"
"18.11.2024","1.482,33","1.469,28","1.494,02","1.467,85","942,62M","-0,99%"
"15.11.2024","1.497,11","1.488,21","1.498,75","1.476,49","","1,00%"
"14.11.2024","1.482,35","1.501,71","1.513,17","1.481,56","","-2,77%"
"13.11.2024","1.524,62","1.504,65","1.526,82","1.501,92","","-0,29%"
"12.11.2024","1.529,07","1.555,16","1.555,16","1.528,73","","-2,50%"
"11.11.2024","1.568,29","1.544,68","1.570,07","1.534,38","","3,53%"
"08.11.2024","1.514,76","1.487,90","1.518,09","1.487,90","","3,00%"
"07.11.2024","1.470,65","1.458,63","1.474,37","1.446,82","","0,82%"
"06.11.2024","1.458,63","1.464,15","1.490,91","1.453,06","","1,44%"
"05.11.2024","1.437,90","1.443,86","1.446,91","1.429,29","","0,05%"
"02.11.2024","1.437,19","1.439,12","1.442,23","1.433,41","","0,03%"
"01.11.2024","1.436,72","1.410,14","1.437,83","1.405,22","","1,78%"
"31.10.2024","1.411,56","1.435,94","1.439,55","1.409,80","","-3,56%"
"30.10.2024","1.463,63","1.450,73","1.477,30","1.444,32","","1,31%"
"29.10.2024","1.444,68","1.449,72","1.462,26","1.424,35","","0,15%"
"28.10.2024","1.442,49","1.493,48","1.494,22","1.441,49","","-4,08%"
"25.10.2024","1.503,89","1.549,72","1.557,59","1.494,24","","-2,79%"
"24.10.2024","1.547,12","1.557,13","1.559,39","1.533,88","","-0,94%"
"23.10.2024","1.561,76","1.578,42","1.579,64","1.561,02","","-1,84%"
"22.10.2024","1.591,00","1.602,50","1.605,16","1.591,00","","-0,78%"
"21.10.2024","1.603,55","1.606,46","1.614,60","1.598,48","","0,17%"
"18.10.2024","1.600,84","1.612,27","1.617,81","1.599,33","","-1,08%"
"17.10.2024","1.618,34","1.628,42","1.638,62","1.617,37","","-0,84%"
"16.10.2024","1.631,97","1.636,13","1.653,19","1.626,09","","-0,23%"
"15.10.2024","1.635,67","1.621,52","1.637,14","1.612,81","","0,98%"
"14.10.2024","1.619,80","1.616,43","1.629,67","1.602,01","","-0,09%"
"11.10.2024","1.621,24","1.632,97","1.633,14","1.616,31","","-0,45%"
"10.10.2024","1.628,49","1.626,36","1.641,81","1.622,34","","1,06%"
"09.10.2024","1.611,44","1.632,67","1.635,51","1.611,44","","-1,55%"
"08.10.2024","1.636,73","1.612,53","1.642,38","1.610,72","","1,70%"
"07.10.2024","1.609,38","1.639,84","1.643,50","1.605,97","","-1,57%"
"04.10.2024","1.635,07","1.625,88","1.639,73","1.619,18","","1,17%"
"03.10.2024","1.616,17","1.624,30","1.624,30","1.590,67","","-0,76%"
"02.10.2024","1.628,58","1.658,19","1.675,09","1.625,05","","-1,40%"
"01.10.2024","1.651,68","1.661,00","1.666,98","1.645,81","","-1,00%"
"30.09.2024","1.668,44","1.673,58","1.691,04","1.658,76","","-0,06%"
"27.09.2024","1.669,36","1.655,33","1.674,61","1.655,20","","-1,53%"
"26.09.2024","1.695,31","1.688,14","1.700,22","1.681,60","","0,09%"
"25.09.2024","1.693,81","1.725,96","1.735,28","1.690,82","","-1,40%"
"24.09.2024","1.717,91","1.705,50","1.719,37","1.692,42","","1,42%"
"23.09.2024","1.693,91","1.697,67","1.705,07","1.689,37","","0,99%"
"20.09.2024","1.677,26","1.677,18","1.700,10","1.675,52","","0,10%"
