"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.06.2025","58,41","58,00","58,41","58,41","1,71M","0,00%"
"31.05.2025","58,41","58,00","58,76","58,00","1,71M","0,93%"
"30.05.2025","57,87","55,22","58,00","54,91","20,47M","4,80%"
"29.05.2025","55,22","56,01","56,70","54,97","10,44M","-1,07%"
"28.05.2025","55,82","55,22","56,50","55,05","9,12M","0,87%"
"27.05.2025","55,34","52,79","55,60","51,55","11,77M","4,83%"
"26.05.2025","52,79","54,03","54,25","52,48","6,17M","-2,31%"
"23.05.2025","54,04","54,61","54,77","53,81","4,82M","-0,68%"
"22.05.2025","54,41","54,50","55,47","53,23","10,78M","-0,17%"
"21.05.2025","54,50","55,05","55,49","54,50","5,04M","-0,91%"
"20.05.2025","55,00","56,16","56,20","54,74","8,42M","-1,70%"
"19.05.2025","55,95","55,99","57,65","55,80","11,88M","-2,44%"
"18.05.2025","57,35","55,99","57,63","57,07","1,82M","0,49%"
"17.05.2025","57,07","55,99","57,18","55,99","897,87K","2,04%"
"16.05.2025","55,93","56,20","56,46","55,00","7,00M","-0,48%"
"15.05.2025","56,20","56,50","56,92","55,00","6,29M","-0,67%"
"14.05.2025","56,58","57,20","57,97","56,40","8,29M","-1,03%"
"13.05.2025","57,17","58,45","58,69","55,84","16,15M","-2,04%"
"12.05.2025","58,36","57,26","58,85","56,85","9,99M","1,92%"
"08.05.2025","57,26","56,47","57,92","56,30","4,89M","1,98%"
"07.05.2025","56,15","55,28","56,40","54,85","4,69M","1,57%"
"06.05.2025","55,28","55,10","56,25","54,72","7,24M","-0,16%"
"05.05.2025","55,37","55,51","56,94","54,60","7,89M","-0,41%"
"02.05.2025","55,60","57,70","57,87","55,55","4,43M","-3,64%"
"30.04.2025","57,70","57,85","58,00","56,29","7,99M","-0,19%"
"29.04.2025","57,81","59,95","60,43","57,54","7,20M","-3,41%"
"28.04.2025","59,85","61,55","62,22","58,97","20,57M","-2,64%"
"25.04.2025","61,47","60,94","62,00","60,67","7,73M","0,87%"
"24.04.2025","60,94","59,75","61,87","59,70","9,72M","2,08%"
"23.04.2025","59,70","60,72","60,86","58,53","7,93M","-1,91%"
"22.04.2025","60,86","57,70","61,30","57,57","14,30M","5,35%"
"21.04.2025","57,77","57,16","57,99","56,90","4,30M","1,42%"
"18.04.2025","56,96","56,80","57,33","56,02","5,61M","-0,80%"
"17.04.2025","57,42","56,63","57,70","56,53","6,72M","1,36%"
"16.04.2025","56,65","55,60","57,78","55,01","16,93M","1,72%"
"15.04.2025","55,69","55,77","56,39","54,31","23,13M","-0,14%"
"14.04.2025","55,77","59,73","59,88","55,38","37,07M","-5,86%"
"11.04.2025","59,24","60,21","62,98","58,12","26,11M","-1,73%"
"10.04.2025","60,28","61,70","62,90","59,52","9,79M","-2,35%"
"09.04.2025","61,73","59,73","62,00","56,00","13,05M","4,22%"
"08.04.2025","59,23","58,88","61,52","58,88","9,77M","0,05%"
"07.04.2025","59,20","59,37","60,60","54,21","18,28M","-0,29%"
"04.04.2025","59,37","63,02","63,56","58,87","11,34M","-5,31%"
"03.04.2025","62,70","65,45","66,07","61,50","11,24M","-4,16%"
"02.04.2025","65,42","64,36","65,93","63,72","7,56M","2,72%"
"01.04.2025","63,69","66,11","68,22","63,69","10,22M","-3,66%"
"31.03.2025","66,11","65,91","66,97","63,26","8,40M","0,21%"
"28.03.2025","65,97","68,21","68,91","65,15","10,52M","-3,38%"
"27.03.2025","68,28","71,09","71,40","68,08","9,05M","-4,02%"
"26.03.2025","71,14","72,70","73,20","70,51","6,18M","-1,88%"
"25.03.2025","72,50","71,46","73,18","70,54","13,22M","1,46%"
"24.03.2025","71,46","70,30","72,36","69,62","10,37M","1,52%"
"21.03.2025","70,39","70,49","71,00","69,80","5,91M","-0,24%"
"20.03.2025","70,56","70,20","71,38","68,80","8,00M","0,31%"
"19.03.2025","70,34","70,00","70,59","68,87","3,79M","0,79%"
"18.03.2025","69,79","70,81","71,50","69,44","5,72M","-1,41%"
"17.03.2025","70,79","69,85","72,10","69,61","5,86M","1,35%"
"14.03.2025","69,85","68,22","70,20","66,81","10,88M","2,39%"
"13.03.2025","68,22","68,22","69,75","66,55","8,98M","0,26%"
"12.03.2025","68,04","69,11","70,17","67,42","9,98M","-2,49%"
"11.03.2025","69,78","71,15","71,44","69,14","6,88M","-1,98%"
"10.03.2025","71,19","71,48","72,03","70,90","3,58M","0,21%"
"07.03.2025","71,04","72,55","73,15","69,55","5,88M","-2,08%"
"06.03.2025","72,55","71,90","73,44","71,53","4,93M","1,03%"
"05.03.2025","71,81","72,20","74,28","71,22","10,49M","-0,54%"
"04.03.2025","72,20","69,21","72,74","69,21","8,88M","3,86%"
"03.03.2025","69,52","72,49","72,49","68,31","10,90M","-3,61%"
"28.02.2025","72,12","69,77","73,38","68,70","12,61M","2,39%"
"27.02.2025","70,44","73,44","73,96","70,11","14,19M","-4,31%"
"26.02.2025","73,61","79,57","80,15","73,50","22,69M","-7,49%"
"25.02.2025","79,57","79,80","80,63","78,20","6,39M","-0,74%"
"24.02.2025","80,16","80,30","80,46","78,64","8,62M","-0,17%"
