"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.06.2025","261,50","261,30","261,50","261,50","62,48K","0,00%"
"31.05.2025","261,50","261,30","262,00","261,10","62,48K","0,27%"
"30.05.2025","260,80","256,00","263,70","255,10","1,73M","1,44%"
"29.05.2025","257,10","262,40","262,90","256,80","2,38M","-2,02%"
"28.05.2025","262,40","257,20","262,80","253,30","6,46M","2,22%"
"27.05.2025","256,70","240,40","258,00","235,40","8,66M","6,21%"
"26.05.2025","241,70","249,50","249,90","235,60","3,38M","-3,32%"
"23.05.2025","250,00","251,80","254,20","249,50","727,71K","-0,71%"
"22.05.2025","251,80","254,00","256,00","249,00","1,18M","-0,83%"
"21.05.2025","253,90","257,70","259,00","252,10","924,76K","-1,47%"
"20.05.2025","257,70","260,90","262,10","256,00","1,24M","-1,00%"
"19.05.2025","260,30","257,90","266,00","257,90","1,46M","-1,77%"
"18.05.2025","265,00","257,90","265,90","263,30","367,29K","0,57%"
"17.05.2025","263,50","257,90","263,60","257,90","165,97K","1,82%"
"16.05.2025","258,80","257,80","265,20","251,20","2,14M","0,39%"
"15.05.2025","257,80","260,00","263,30","254,50","1,69M","-1,00%"
"14.05.2025","260,40","264,70","269,50","259,80","1,62M","-1,44%"
"13.05.2025","264,20","267,50","270,60","259,60","2,70M","-1,27%"
"12.05.2025","267,60","256,80","269,70","256,00","3,83M","4,21%"
"08.05.2025","256,80","257,30","264,30","256,00","1,58M","0,35%"
"07.05.2025","255,90","257,40","262,70","254,90","2,92M","-0,43%"
"06.05.2025","257,00","253,00","265,30","244,00","4,81M","1,70%"
"05.05.2025","252,70","253,40","257,70","241,30","5,27M","0,04%"
"02.05.2025","252,60","267,10","267,10","252,30","1,62M","-5,89%"
"30.04.2025","268,40","263,00","268,80","257,50","2,73M","1,74%"
"29.04.2025","263,80","272,80","272,80","262,70","2,76M","-3,33%"
"28.04.2025","272,90","284,00","286,70","270,80","5,12M","-3,77%"
"25.04.2025","283,60","273,70","287,40","273,00","10,56M","3,96%"
"24.04.2025","272,80","272,80","278,50","268,50","3,97M","0,11%"
"23.04.2025","272,50","275,50","276,60","265,10","4,72M","-0,69%"
"22.04.2025","274,40","255,70","275,50","255,30","7,17M","7,48%"
"21.04.2025","255,30","250,00","256,00","249,60","1,29M","2,82%"
"18.04.2025","248,30","252,00","253,10","246,60","1,62M","-2,28%"
"17.04.2025","254,10","252,00","255,80","248,10","2,06M","0,87%"
"16.04.2025","251,90","246,70","256,20","240,30","3,95M","2,11%"
"15.04.2025","246,70","250,00","251,30","245,00","1,58M","-1,36%"
"14.04.2025","250,10","253,00","257,50","247,30","2,24M","-0,79%"
"11.04.2025","252,10","247,80","256,70","247,00","2,68M","1,69%"
"10.04.2025","247,90","253,30","254,50","240,60","3,02M","-1,51%"
"09.04.2025","251,70","241,00","252,00","230,60","5,80M","4,44%"
"08.04.2025","241,00","258,70","262,50","241,00","4,60M","-6,26%"
"07.04.2025","257,10","262,30","268,70","233,50","13,54M","-2,39%"
"04.04.2025","263,40","280,80","283,30","263,00","3,82M","-5,63%"
"03.04.2025","279,10","281,70","286,20","271,40","3,02M","-0,92%"
"02.04.2025","281,70","275,00","284,60","273,50","3,37M","2,62%"
"01.04.2025","274,50","282,00","291,70","273,30","5,75M","-2,66%"
"31.03.2025","282,00","280,00","285,20","266,20","4,78M","0,57%"
"28.03.2025","280,40","282,00","289,60","277,80","5,97M","-0,57%"
"27.03.2025","282,00","287,50","287,50","275,20","4,74M","-1,43%"
"26.03.2025","286,10","291,90","293,60","286,00","2,45M","-1,95%"
"25.03.2025","291,80","284,60","292,90","283,10","5,58M","2,57%"
"24.03.2025","284,50","294,00","294,70","284,20","6,52M","-3,36%"
"21.03.2025","294,40","300,60","301,50","290,40","21,81M","-2,35%"
